"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料年度","政府機構(%)","政府機構增減","僑外投資(%)","僑外投資增減","本國金融機構(%)","本國金融機構增減","本國法人(%)","本國法人增減","本國個人(%)","本國個人增減","庫藏股票(%)","庫藏股票增減"
"386",="3041","揚智","39.2","+0.7","+1.82","2021","0","0","9.45","+1.62","3.14","+0.85","0.87","+0.3","85.5","-2","1.07","-0.77"
"387",="5439","高技","64.2","-0.5","-0.77","2021","0","0","3.08","+0.79","3.13","-1.68","9.25","+0.62","84.5","+0.28","0","0"
"388",="4190","佐登-KY","75.1","-1.9","-2.47","2021","0","0","64.3","+0.49","3.13","-2.26","5.1","+0.94","27.4","+0.82","0","0"
"389",="8462","柏文","140.5","-1","-0.71","2021","0","-0.35","2.93","+0.73","3.12","+0.05","35.5","-2.66","58.4","+2.27","0","-0.03"
"390",="1773","勝一","136","-0.5","-0.37","2021","0","-0.05","2.67","+0.08","3.1","-2.8","48.6","+2.74","45.6","+0.02","0","0"
"391",="3551","世禾","69.4","-0.3","-0.43","2021","0","0","5.63","-0.14","3.09","+0.31","20.1","+2.74","71.2","-2.9","0","0"
"392",="6561","是方","285","-2.5","-0.87","2021","0","-0.29","15.6","+4.1","3.06","-3.65","63.4","+0.07","18","-0.23","0","0"
"393",="1521","大億","41.95","-0.25","-0.59","2021","0","0","33.5","-0.14","3.03","-1.44","35.9","-0.3","27.5","+1.87","0","0"
"394",="8938","明安","76.7","-0.5","-0.65","2021","0","0","12.6","+1.69","3.01","+2.32","38.6","+5.75","45.8","-9.76","0","0"
"395",="2880","華南金","20.95","-0.25","-1.18","2021","27.5","-0.18","17.6","-2.33","3.01","+0.01","20.2","-0.17","31.8","+2.68","0","0"
"396",="5603","陸海","30.7","-0.65","-2.07","2021","0","0","9.35","+2.34","3.01","0","16.4","-6.43","71.3","+4.09","0","0"
"397",="2312","金寶","13.65","-0.1","-0.73","2021","0","0","13.6","-2.26","2.98","-8.66","17.4","-0.6","64.1","+12.9","1.94","-1.4"
"398",="2013","中鋼構","50.6","-1.3","-2.5","2021","0","0","9.55","+2.25","2.95","-0.05","47","-2.92","40.5","+0.72","0","0"
"399",="8112","至上","44","-0.35","-0.79","2021","0","0","23","-9.02","2.93","-1.26","8.83","+2.32","65.2","+8.47","0","-0.51"
"400",="4126","太醫","73.1","-1","-1.35","2021","0.19","+0.19","16.6","-10.4","2.91","+1.16","4.65","+1.45","75.7","+7.6","0","0"
"401",="3679","新至陞","83.9","-0.8","-0.94","2021","0","0","15.8","+2.04","2.89","-0.01","42.4","+6.27","38.9","-8.3","0","0"
"402",="6684","安格","203","+6.5","+3.31","2021","0","","4.95","","2.85","","40.2","","51.7","","0.27",""
"403",="9918","欣天然","43.15","-0.4","-0.92","2021","25.8","0","2.24","+0.07","2.83","+0.01","34.2","-0.11","34.9","+0.03","0","0"
"404",="5283","禾聯碩","118","0","0","2021","0","0","4.78","+4.36","2.83","+0.52","37.7","+25.2","54.7","-30","0","0"
"405",="2618","長榮航","27.2","-1.1","-3.89","2021","1.83","+0.54","20.2","-7.49","2.81","+2.25","34.8","-1.94","40.4","+6.63","0","0"
"406",="4120","友華","39","-0.05","-0.13","2021","0","0","6.84","-0.39","2.78","0","46","+2.42","44.4","-2.02","0","0"
